season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2021,REG,10,Van Jefferson,WR,LAR,5.31714285714286,2.30119281366776,12.7242857142857,24.6049723756906,3,7,42.8571428571429,54,0,5.87333333333334,4.19741187712513,1.67592145620821,00-0036415,Vanchii,Jefferson,12,V.Jefferson
2021,REG,10,Mike Williams,WR,LAC,5.31,3.3933159188905,2.34166666666667,7.50293709281213,4,6,66.6666666666667,33,0,6.845,6.59710757612765,0.247892423872354,00-0033536,Michael,Williams,81,M.Williams
2021,REG,10,DeVonta Smith,WR,PHI,5.04333333333333,2.26866783009369,17.725,42.224163258824,4,6,66.6666666666667,66,2,3.495,4.0329741150872,-0.5379741150872,00-0036912,DeVonta,Smith,6,D.Smith
2021,REG,10,Marvin Jones,WR,JAX,4.98833333333333,1.02835505464018,19.045,34.2885434795655,2,6,33.3333333333333,35,0,1.635,1.78283296913111,-0.147832969131105,00-0029293,Marvin,Jones,11,M.Jones
2021,REG,10,Pat Freiermuth,TE,PIT,4.95875,3.98804816484878,5.56222222222222,15.7495674060091,5,9,55.5555555555556,31,0,2.452,2.85030545064469,-0.398305450644691,00-0036894,Pat,Freiermuth,88,P.Freiermuth
2021,REG,10,Justin Jefferson,WR,MIN,4.87454545454546,2.72894099571219,11.2263636363636,49.5565632649785,9,11,81.8181818181818,143,0,4.48888888888889,3.71156651074527,0.777322378143615,00-0036322,Justin,Jefferson,18,J.Jefferson
2021,REG,10,Donovan Peoples-Jones,WR,CLE,4.782,1.71130216290467,13.642,30.9735718826628,1,5,20,16,0,1.18,3.13137510798879,-1.95137510798879,00-0036233,Donovan,Peoples-Jones,11,D.Peoples-Jones
2021,REG,10,D.J. Moore,WR,CAR,4.76857142857143,2.3961029649491,3.26571428571429,21.4809246382259,4,7,57.1428571428571,24,0,2.45,1.68911323319321,0.76088676680679,00-0034827,Denniston,Moore,2,Dj.Moore
2021,REG,10,Byron Pringle,WR,KC,4.695,3.87856624152275,14.766,19.7564891624298,4,5,80,46,1,5.08,3.87319098610874,1.20680901389126,00-0034297,Byron,Pringle,13,B.Pringle
2021,REG,10,James Washington,WR,PIT,4.67333333333333,1.83711392221923,12.8283333333333,24.2158250747208,2,6,33.3333333333333,15,1,1.41,0.947892181870429,0.462107818129571,00-0034676,James,Washington,13,J.Washington
